ID,Ф.И.О.,Должность,Телефон
1,г-н Игнатьев Эрнест Ерофеевич,Иммунолог,+7 (601) 184-0670
2,Гущин Феликс Валерьевич,Вирусолог,+7 541 855 87 31
3,Романова Зоя Аскольдовна,Растениевод,8 395 731 26 01
4,Васильев Данила Устинович,Инженер-строитель,+79950215555
5,Елисей Августович Беспалов,Тестировщик,+77130596889
6,Михеева Клавдия Альбертовна,Кавалерист,+7 (696) 309-65-32
7,Вишняков Милий Фёдорович,Кровельщик,8 (181) 945-25-78
8,Вадим Филатович Носков,Столяр,+7 (305) 712-4868
9,Герасим Владиленович Владимиров,Каменотёс,8 519 796 9185
10,Кузьмин Иван Иванович,садовник,8 964 777 55 66
